SET,IE PID,MMS ID,Title (DC),Identifier - Digital File Name (DC),Created - W 3 CDTF (DCTERMS),Is Part Of (DCTERMS)
1,IE1258179,9922945903607636,[Gold fish and water weeds],wp003832,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1286094,9922947133607636,[Camellia bud],wp003860,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1287036,9922921363607636,Ivy,wp003768,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1288744,9939651970707636,Four pictures of pansies,wp003765,1883,"Album of watercolour of flowers, vegetables and fruit"
1,IE1293890,9922930863607636,[Oriental lily],wp003793,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1293952,9939657607407636,Fuchsia,wp003819,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1294469,9939649280807636,Four pictures of pansies,wp003762,1883,"Album of watercolour of flowers, vegetables and fruit"
1,IE1314296,9922945983607636,[White and purple violets],wp003833,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1320303,9922921623607636,[Passion flowers],wp003774,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1320804,9939649603607636,Dead birds,wp003842,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1326613,9939659642807636,Flowers,wp003792,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1326666,9939659642607636,Pansies,wp003812,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1334468,9922945713607636,[Anemone],wp003824,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1334675,9922930963607636,"[Arrangement of anemone, chrysanthemum and polyanthus]",wp003798,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1334843,9922936453607636,[Hoya flowers],wp003806,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1338533,9939652918207636,Jonquils,wp003848,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1343856,9922921273607636,Lillies,wp003766,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1344969,9939664200507636,Still life with fruit,wp003781,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1351045,9922946563607636,[Blue speedwell],wp003839,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1351170,9922946063607636,[Birds' eggs and yew branch],wp003837,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1351434,9922930913607636,[Red currants],wp003795,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1351988,9939648102707636,Camellias,wp003813,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1352415,9939651193907636,Four pictures of pansies,wp003763,1883,"Album of watercolour of flowers, vegetables and fruit"
1,IE1352463,9922945663607636,[Tomatoes],wp003822,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1357458,9939648680907636,Camellia buds,wp003853,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1365026,9922947043607636,[Fuchsia],wp003858,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1378480,9922946893607636,[Carnation - red and white stripe],wp003851,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1384249,9939651072207636,Fuchsia,wp003767,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1384486,9939660506407636,Fuchsia,wp003769,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
1,IE1419841,9922930793607636,[Sea shells],wp003787,1870/1910,"Album of watercolour of flowers, vegetables and fruit"
